player,exception_score,exception_routes,best_preliminary_single_season,best_preliminary_three_year_window,best_legacy_window,included
Brendan Haywood,42.34,elite individual peak,57.9,51.5,53.4,False
Wendell Carter Jr.,42.29,elite individual peak,54.8,52.2,53.4,False
Thabo Sefolosha,42.29,elite individual peak,51.6,48.3,50.5,False
Matt Harpring,42.24,elite individual peak,59.7,52.0,52.9,False
Jon Koncak,42.18,elite individual peak,55.5,51.4,52.5,False
Matt Geiger,42.18,elite individual peak,55.4,52.2,54.4,False
Lindsey Hunter,42.16,elite individual peak,49.8,46.8,47.6,False
Chuck Hayes,42.14,elite individual peak,58.8,46.5,47.2,False
Kelvin Cato,42.13,elite individual peak,56.0,53.2,53.9,False
Dave Corzine,42.11,elite individual peak,54.1,51.6,53.6,False
Darrell Griffith,42.1,elite individual peak,49.3,47.5,49.2,False
Delonte West,42.1,elite individual peak,53.1,48.4,50.5,False
Elliot Perry,42.05,elite individual peak,58.9,53.1,54.4,False
Frank Brickowski,42.03,elite individual peak,50.0,48.0,49.4,False
Mike James,42.02,elite individual peak,58.6,54.2,55.9,False
D.J. Augustin,42.02,elite individual peak,58.8,51.3,52.4,False
Spencer Hawes,41.99,elite individual peak,55.3,51.2,52.3,False
Lorenzen Wright,41.94,elite individual peak,52.4,49.3,50.5,False
Ricky Davis,41.94,elite individual peak,51.2,49.6,50.3,False
Earl Watson,41.92,elite individual peak,53.9,50.9,52.2,False
Gene Banks,41.92,elite individual peak,55.7,50.4,52.1,False
Bobby Jackson,41.9,elite individual peak,53.3,50.5,52.8,False
Dennis Scott,41.89,elite individual peak,55.4,49.5,51.6,False
Johnny Davis,41.85,elite individual peak,55.7,51.8,53.1,False
Marcus Morris,41.84,elite individual peak,50.4,47.9,49.9,False
Vinny Del Negro,41.82,elite individual peak,54.0,51.0,52.5,False
Mahmoud Abdul-Rauf,41.81,elite individual peak,52.6,51.9,53.5,False
Keon Clark,41.77,elite individual peak,56.3,52.7,54.6,False
Luguentz Dort,41.75,elite individual peak,44.2,41.4,44.0,False
Gheorghe Muresan,41.7,elite individual peak,58.4,53.1,53.9,False
Foots Walker,41.68,elite individual peak,59.0,51.1,51.7,False
Al Harrington,41.67,elite individual peak,49.8,45.4,46.7,False
